#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.117924E+00   0.212626E+07   0.211523E+07  -0.364977E+01  -0.372196E+01   0.146091E+06   0.211561E+07   0.212453E+07   0.211561E+07  -0.505397E-01   0.111853E+07   0.111841E+07   0.338049E+00
   0.123313E+00   0.204065E+07   0.203156E+07  -0.320393E+01  -0.326729E+01   0.131577E+06   0.203063E+07   0.203923E+07   0.203063E+07  -0.485095E-01   0.107361E+07   0.107351E+07   0.273726E+00
   0.128701E+00   0.195675E+07   0.194906E+07  -0.282071E+01  -0.287650E+01   0.118646E+06   0.194727E+07   0.195554E+07   0.194727E+07  -0.465181E-01   0.102954E+07   0.102945E+07   0.229331E+00
   0.134090E+00   0.186915E+07   0.186217E+07  -0.248245E+01  -0.253153E+01   0.106782E+06   0.186011E+07   0.186805E+07   0.186011E+07  -0.444362E-01   0.983473E+06   0.983390E+06   0.204634E+00
   0.139479E+00   0.177664E+07   0.176975E+07  -0.218087E+01  -0.222400E+01   0.957998E+05   0.176799E+07   0.177556E+07   0.176799E+07  -0.422353E-01   0.934771E+06   0.934689E+06   0.195386E+00
   0.144868E+00   0.168123E+07   0.167399E+07  -0.191308E+01  -0.195090E+01   0.857106E+05   0.167290E+07   0.168009E+07   0.167290E+07  -0.399639E-01   0.884507E+06   0.884422E+06   0.195152E+00
   0.150256E+00   0.158671E+07   0.157895E+07  -0.167830E+01  -0.171148E+01   0.766016E+05   0.157869E+07   0.158549E+07   0.157869E+07  -0.377133E-01   0.834702E+06   0.834613E+06   0.197288E+00
   0.155645E+00   0.149775E+07   0.148955E+07  -0.147636E+01  -0.150555E+01   0.685765E+05   0.149003E+07   0.149646E+07   0.149003E+07  -0.355951E-01   0.787826E+06   0.787735E+06   0.196572E+00
   0.161034E+00   0.141880E+07   0.141044E+07  -0.130650E+01  -0.133232E+01   0.617004E+05   0.141138E+07   0.141749E+07   0.141138E+07  -0.337164E-01   0.746248E+06   0.746156E+06   0.190116E+00
   0.166423E+00   0.135245E+07   0.134428E+07  -0.116607E+01  -0.118912E+01   0.559404E+05   0.134533E+07   0.135117E+07   0.134533E+07  -0.321385E-01   0.711330E+06   0.711241E+06   0.177485E+00
   0.171811E+00   0.129826E+07   0.129062E+07  -0.105030E+01  -0.107106E+01   0.511426E+05   0.129145E+07   0.129706E+07   0.129145E+07  -0.308513E-01   0.682843E+06   0.682760E+06   0.160197E+00
   0.177200E+00   0.125350E+07   0.124660E+07  -0.953423E+00  -0.972267E+00   0.470873E+05   0.124698E+07   0.125242E+07   0.124698E+07  -0.297891E-01   0.659335E+06   0.659260E+06   0.140885E+00
   0.182589E+00   0.121472E+07   0.120862E+07  -0.870277E+00  -0.887478E+00   0.435637E+05   0.120849E+07   0.121376E+07   0.120849E+07  -0.288695E-01   0.638981E+06   0.638914E+06   0.122392E+00
   0.187978E+00   0.117860E+07   0.117320E+07  -0.796751E+00  -0.812498E+00   0.403978E+05   0.117262E+07   0.117775E+07   0.117262E+07  -0.280128E-01   0.620022E+06   0.619961E+06   0.106989E+00
   0.193367E+00   0.114222E+07   0.113734E+07  -0.729772E+00  -0.744195E+00   0.374567E+05   0.113648E+07   0.114145E+07   0.113648E+07  -0.271493E-01   0.600911E+06   0.600855E+06   0.959006E-01
   0.198755E+00   0.110368E+07   0.109907E+07  -0.667457E+00  -0.680648E+00   0.346599E+05   0.109814E+07   0.110296E+07   0.109814E+07  -0.262334E-01   0.580642E+06   0.580589E+06   0.891973E-01
   0.204144E+00   0.106271E+07   0.105815E+07  -0.609203E+00  -0.621243E+00   0.319890E+05   0.105735E+07   0.106199E+07   0.105735E+07  -0.252589E-01   0.559075E+06   0.559022E+06   0.860094E-01
   0.209533E+00   0.102045E+07   0.101580E+07  -0.555273E+00  -0.566246E+00   0.294691E+05   0.101526E+07   0.101972E+07   0.101526E+07  -0.242535E-01   0.536822E+06   0.536768E+06   0.849229E-01
