#    L    TT             EE             TE             PP             TP          
   298   0.447414E+04   0.777240E+01   0.117840E+03   0.149450E+07   0.985834E+03
   299   0.444173E+04   0.794089E+01   0.118507E+03   0.148864E+07   0.977020E+03
   300   0.440914E+04   0.811085E+01   0.119142E+03   0.148280E+07   0.968261E+03
   301   0.437639E+04   0.828237E+01   0.119743E+03   0.147701E+07   0.959559E+03
   302   0.434350E+04   0.845522E+01   0.120312E+03   0.147124E+07   0.950913E+03
   303   0.431047E+04   0.862950E+01   0.120847E+03   0.146552E+07   0.942323E+03
   304   0.427732E+04   0.880514E+01   0.121349E+03   0.145982E+07   0.933789E+03
   305   0.424406E+04   0.898207E+01   0.121817E+03   0.145416E+07   0.925311E+03
   306   0.421069E+04   0.916029E+01   0.122250E+03   0.144854E+07   0.916889E+03
   307   0.417723E+04   0.933968E+01   0.122649E+03   0.144295E+07   0.908524E+03
   308   0.414369E+04   0.952024E+01   0.123013E+03   0.143739E+07   0.900215E+03
   309   0.411009E+04   0.970190E+01   0.123342E+03   0.143186E+07   0.891962E+03
   310   0.407641E+04   0.988453E+01   0.123636E+03   0.142637E+07   0.883767E+03
   311   0.404269E+04   0.100682E+02   0.123894E+03   0.142090E+07   0.875627E+03
   312   0.400892E+04   0.102528E+02   0.124116E+03   0.141547E+07   0.867544E+03
   313   0.397512E+04   0.104383E+02   0.124301E+03   0.141008E+07   0.859518E+03
   314   0.394131E+04   0.106245E+02   0.124451E+03   0.140471E+07   0.851549E+03
   315   0.390747E+04   0.108115E+02   0.124564E+03   0.139938E+07   0.843637E+03
   316   0.387364E+04   0.109993E+02   0.124640E+03   0.139407E+07   0.835781E+03
   317   0.383981E+04   0.111876E+02   0.124680E+03   0.138880E+07   0.827983E+03
   318   0.380601E+04   0.113766E+02   0.124683E+03   0.138356E+07   0.820241E+03
   319   0.377224E+04   0.115660E+02   0.124648E+03   0.137835E+07   0.812557E+03
