#    L    TT             EE             BB             TE             PP             TP             EP          
   166   0.487881E+04   0.967663E+00   0.000000E+00  -0.437363E+02   0.686445E-07   0.191884E-03  -0.879607E-06
   167   0.490741E+04   0.957275E+00   0.000000E+00  -0.433562E+02   0.682638E-07   0.190256E-03  -0.863612E-06
   168   0.493566E+04   0.946701E+00   0.000000E+00  -0.429488E+02   0.678861E-07   0.188646E-03  -0.847648E-06
   169   0.496355E+04   0.935964E+00   0.000000E+00  -0.425139E+02   0.675117E-07   0.187053E-03  -0.831737E-06
   170   0.499108E+04   0.925078E+00   0.000000E+00  -0.420514E+02   0.671403E-07   0.185478E-03  -0.815901E-06
   171   0.501822E+04   0.914073E+00   0.000000E+00  -0.415613E+02   0.667721E-07   0.183921E-03  -0.800162E-06
   172   0.504499E+04   0.902972E+00   0.000000E+00  -0.410435E+02   0.664069E-07   0.182381E-03  -0.784542E-06
   173   0.507136E+04   0.891796E+00   0.000000E+00  -0.404980E+02   0.660447E-07   0.180859E-03  -0.769062E-06
   174   0.509733E+04   0.880567E+00   0.000000E+00  -0.399247E+02   0.656856E-07   0.179353E-03  -0.753746E-06
   175   0.512289E+04   0.869324E+00   0.000000E+00  -0.393239E+02   0.653294E-07   0.177865E-03  -0.738616E-06
   176   0.514803E+04   0.858080E+00   0.000000E+00  -0.386953E+02   0.649763E-07   0.176394E-03  -0.723687E-06
   177   0.517274E+04   0.846873E+00   0.000000E+00  -0.380391E+02   0.646261E-07   0.174940E-03  -0.708953E-06
   178   0.519700E+04   0.835725E+00   0.000000E+00  -0.373553E+02   0.642788E-07   0.173502E-03  -0.694404E-06
   179   0.522083E+04   0.824658E+00   0.000000E+00  -0.366439E+02   0.639344E-07   0.172080E-03  -0.680027E-06
   180   0.524421E+04   0.813709E+00   0.000000E+00  -0.359050E+02   0.635929E-07   0.170674E-03  -0.665812E-06
   181   0.526712E+04   0.802909E+00   0.000000E+00  -0.351389E+02   0.632542E-07   0.169283E-03  -0.651746E-06
   182   0.528957E+04   0.792287E+00   0.000000E+00  -0.343455E+02   0.629183E-07   0.167907E-03  -0.637818E-06
   183   0.531154E+04   0.781866E+00   0.000000E+00  -0.335250E+02   0.625852E-07   0.166545E-03  -0.624017E-06
   184   0.533303E+04   0.771681E+00   0.000000E+00  -0.326778E+02   0.622549E-07   0.165198E-03  -0.610330E-06
   185   0.535404E+04   0.761772E+00   0.000000E+00  -0.318036E+02   0.619272E-07   0.163865E-03  -0.596748E-06
   186   0.537455E+04   0.752159E+00   0.000000E+00  -0.309028E+02   0.616023E-07   0.162545E-03  -0.583257E-06
   187   0.539456E+04   0.742873E+00   0.000000E+00  -0.299756E+02   0.612801E-07   0.161239E-03  -0.569846E-06
   188   0.541406E+04   0.733955E+00   0.000000E+00  -0.290222E+02   0.609604E-07   0.159946E-03  -0.556504E-06
   189   0.543304E+04   0.725436E+00   0.000000E+00  -0.280429E+02   0.606434E-07   0.158665E-03  -0.543220E-06
   190   0.545150E+04   0.717350E+00   0.000000E+00  -0.270378E+02   0.603290E-07   0.157396E-03  -0.529982E-06
   191   0.546943E+04   0.709729E+00   0.000000E+00  -0.260073E+02   0.600171E-07   0.156140E-03  -0.516778E-06
   192   0.548682E+04   0.702607E+00   0.000000E+00  -0.249514E+02   0.597078E-07   0.154894E-03  -0.503597E-06
   193   0.550366E+04   0.696019E+00   0.000000E+00  -0.238706E+02   0.594010E-07   0.153661E-03  -0.490427E-06
   194   0.551996E+04   0.690000E+00   0.000000E+00  -0.227651E+02   0.590966E-07   0.152437E-03  -0.477257E-06
   195   0.553570E+04   0.684586E+00   0.000000E+00  -0.216353E+02   0.587947E-07   0.151225E-03  -0.464076E-06
   196   0.555089E+04   0.679811E+00   0.000000E+00  -0.204815E+02   0.584952E-07   0.150023E-03  -0.450872E-06
   197   0.556552E+04   0.675715E+00   0.000000E+00  -0.193042E+02   0.581981E-07   0.148830E-03  -0.437632E-06
   198   0.557960E+04   0.672331E+00   0.000000E+00  -0.181036E+02   0.579033E-07   0.147647E-03  -0.424347E-06
   199   0.559310E+04   0.669696E+00   0.000000E+00  -0.168801E+02   0.576109E-07   0.146473E-03  -0.411005E-06
   200   0.560603E+04   0.667846E+00   0.000000E+00  -0.156341E+02   0.573208E-07   0.145308E-03  -0.397593E-06
   201   0.561839E+04   0.666818E+00   0.000000E+00  -0.143660E+02   0.570330E-07   0.144152E-03  -0.384103E-06
   202   0.563017E+04   0.666649E+00   0.000000E+00  -0.130762E+02   0.567474E-07   0.143004E-03  -0.370536E-06
   203   0.564134E+04   0.667374E+00   0.000000E+00  -0.117651E+02   0.564641E-07   0.141864E-03  -0.356894E-06
   204   0.565191E+04   0.669031E+00   0.000000E+00  -0.104331E+02   0.561830E-07   0.140733E-03  -0.343181E-06
   205   0.566185E+04   0.671657E+00   0.000000E+00  -0.908074E+01   0.559041E-07   0.139609E-03  -0.329400E-06
   206   0.567117E+04   0.675287E+00   0.000000E+00  -0.770831E+01   0.556273E-07   0.138495E-03  -0.315554E-06
   207   0.567986E+04   0.679960E+00   0.000000E+00  -0.631622E+01   0.553528E-07   0.137388E-03  -0.301647E-06
   208   0.568790E+04   0.685711E+00   0.000000E+00  -0.490508E+01   0.550804E-07   0.136289E-03  -0.287680E-06
   209   0.569533E+04   0.692577E+00   0.000000E+00  -0.347540E+01   0.548101E-07   0.135199E-03  -0.273658E-06
   210   0.570212E+04   0.700594E+00   0.000000E+00  -0.202776E+01   0.545419E-07   0.134116E-03  -0.259583E-06
   211   0.570830E+04   0.709801E+00   0.000000E+00  -0.562695E+00   0.542759E-07   0.133042E-03  -0.245459E-06
   212   0.571387E+04   0.720233E+00   0.000000E+00   0.919229E+00   0.540119E-07   0.131975E-03  -0.231289E-06
   213   0.571883E+04   0.731926E+00   0.000000E+00   0.241746E+01   0.537499E-07   0.130916E-03  -0.217075E-06
   214   0.572319E+04   0.744919E+00   0.000000E+00   0.393144E+01   0.534900E-07   0.129865E-03  -0.202822E-06
   215   0.572695E+04   0.759241E+00   0.000000E+00   0.546059E+01   0.532321E-07   0.128822E-03  -0.188531E-06
   216   0.573010E+04   0.774936E+00   0.000000E+00   0.700430E+01   0.529762E-07   0.127786E-03  -0.174206E-06
   217   0.573263E+04   0.792036E+00   0.000000E+00   0.856197E+01   0.527223E-07   0.126758E-03  -0.159851E-06
   218   0.573454E+04   0.810570E+00   0.000000E+00   0.101331E+02   0.524703E-07   0.125738E-03  -0.145468E-06
   219   0.573584E+04   0.830582E+00   0.000000E+00   0.117170E+02   0.522203E-07   0.124725E-03  -0.131061E-06
   220   0.573650E+04   0.852102E+00   0.000000E+00   0.133131E+02   0.519722E-07   0.123719E-03  -0.116632E-06
   221   0.573654E+04   0.875159E+00   0.000000E+00   0.149207E+02   0.517261E-07   0.122722E-03  -0.102185E-06
   222   0.573595E+04   0.899799E+00   0.000000E+00   0.165394E+02   0.514818E-07   0.121731E-03  -0.877226E-07
   223   0.573472E+04   0.926043E+00   0.000000E+00   0.181683E+02   0.512393E-07   0.120748E-03  -0.732482E-07
   224   0.573287E+04   0.953929E+00   0.000000E+00   0.198070E+02   0.509988E-07   0.119772E-03  -0.587648E-07
   225   0.573040E+04   0.983479E+00   0.000000E+00   0.214545E+02   0.507600E-07   0.118803E-03  -0.442755E-07
   226   0.572730E+04   0.101474E+01   0.000000E+00   0.231105E+02   0.505231E-07   0.117842E-03  -0.297834E-07
   227   0.572357E+04   0.104773E+01   0.000000E+00   0.247741E+02   0.502879E-07   0.116887E-03  -0.152917E-07
   228   0.571922E+04   0.108249E+01   0.000000E+00   0.264446E+02   0.500546E-07   0.115940E-03  -0.803415E-09
   229   0.571426E+04   0.111905E+01   0.000000E+00   0.281215E+02   0.498230E-07   0.115000E-03   0.136783E-07
