#    L    TT             EE             BB             TE          
   365   0.216469E+04   0.199205E+02   0.371357E-01   0.660318E+02
   366   0.214531E+04   0.200280E+02   0.372479E-01   0.642738E+02
   367   0.212635E+04   0.201323E+02   0.373602E-01   0.624991E+02
   368   0.210783E+04   0.202334E+02   0.374727E-01   0.607087E+02
   369   0.208973E+04   0.203312E+02   0.375853E-01   0.589032E+02
   370   0.207207E+04   0.204256E+02   0.376981E-01   0.570834E+02
   371   0.205483E+04   0.205168E+02   0.378111E-01   0.552501E+02
   372   0.203804E+04   0.206044E+02   0.379243E-01   0.534039E+02
   373   0.202168E+04   0.206887E+02   0.380377E-01   0.515458E+02
   374   0.200577E+04   0.207695E+02   0.381514E-01   0.496765E+02
   375   0.199028E+04   0.208467E+02   0.382653E-01   0.477966E+02
   376   0.197524E+04   0.209204E+02   0.383796E-01   0.459070E+02
   377   0.196065E+04   0.209905E+02   0.384941E-01   0.440083E+02
   378   0.194648E+04   0.210569E+02   0.386090E-01   0.421013E+02
   379   0.193277E+04   0.211195E+02   0.387242E-01   0.401868E+02
   380   0.191950E+04   0.211784E+02   0.388398E-01   0.382655E+02
   381   0.190668E+04   0.212336E+02   0.389558E-01   0.363381E+02
   382   0.189430E+04   0.212848E+02   0.390722E-01   0.344055E+02
   383   0.188237E+04   0.213323E+02   0.391890E-01   0.324683E+02
   384   0.187088E+04   0.213759E+02   0.393062E-01   0.305276E+02
   385   0.185983E+04   0.214155E+02   0.394239E-01   0.285839E+02
   386   0.184923E+04   0.214514E+02   0.395421E-01   0.266384E+02
   387   0.183907E+04   0.214834E+02   0.396608E-01   0.246917E+02
   388   0.182935E+04   0.215116E+02   0.397800E-01   0.227446E+02
   389   0.182007E+04   0.215360E+02   0.398997E-01   0.207981E+02
   390   0.181122E+04   0.215564E+02   0.400199E-01   0.188529E+02
   391   0.180282E+04   0.215730E+02   0.401408E-01   0.169098E+02
   392   0.179484E+04   0.215856E+02   0.402622E-01   0.149697E+02
   393   0.178730E+04   0.215943E+02   0.403842E-01   0.130332E+02
