#    L    TT             EE             TE             PP             TP          
   303   0.431047E+04   0.862950E+01   0.120847E+03   0.144353E+07   0.939282E+03
   304   0.427732E+04   0.880514E+01   0.121349E+03   0.143781E+07   0.930755E+03
   305   0.424406E+04   0.898207E+01   0.121817E+03   0.143212E+07   0.922285E+03
   306   0.421069E+04   0.916029E+01   0.122250E+03   0.142646E+07   0.913870E+03
   307   0.417723E+04   0.933968E+01   0.122649E+03   0.142083E+07   0.905512E+03
   308   0.414369E+04   0.952024E+01   0.123013E+03   0.141524E+07   0.897211E+03
   309   0.411009E+04   0.970190E+01   0.123342E+03   0.140969E+07   0.888965E+03
   310   0.407641E+04   0.988453E+01   0.123636E+03   0.140416E+07   0.880777E+03
   311   0.404269E+04   0.100682E+02   0.123894E+03   0.139867E+07   0.872645E+03
   312   0.400892E+04   0.102528E+02   0.124116E+03   0.139321E+07   0.864570E+03
   313   0.397512E+04   0.104383E+02   0.124301E+03   0.138779E+07   0.856551E+03
   314   0.394131E+04   0.106245E+02   0.124451E+03   0.138239E+07   0.848590E+03
   315   0.390747E+04   0.108115E+02   0.124564E+03   0.137703E+07   0.840685E+03
   316   0.387364E+04   0.109993E+02   0.124640E+03   0.137170E+07   0.832837E+03
   317   0.383981E+04   0.111876E+02   0.124680E+03   0.136640E+07   0.825046E+03
   318   0.380601E+04   0.113766E+02   0.124683E+03   0.136113E+07   0.817313E+03
   319   0.377224E+04   0.115660E+02   0.124648E+03   0.135589E+07   0.809636E+03
