#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.693411E-01   0.405004E+07   0.403620E+07  -0.200858E+02  -0.204837E+02   0.561925E+06   0.403216E+07   0.404787E+07   0.403216E+07  -0.963240E-01   0.213147E+07   0.213130E+07   0.801511E+00
   0.736750E-01   0.381525E+07   0.380245E+07  -0.167639E+02  -0.170959E+02   0.491160E+06   0.379827E+07   0.381324E+07   0.379827E+07  -0.907366E-01   0.200787E+07   0.200772E+07   0.717415E+00
   0.780088E-01   0.358019E+07   0.356729E+07  -0.140335E+02  -0.143114E+02   0.428902E+06   0.356397E+07   0.357816E+07   0.356397E+07  -0.851395E-01   0.188406E+07   0.188390E+07   0.683724E+00
   0.823426E-01   0.334791E+07   0.333415E+07  -0.117789E+02  -0.120121E+02   0.374238E+06   0.333235E+07   0.334575E+07   0.333235E+07  -0.796064E-01   0.176165E+07   0.176148E+07   0.676560E+00
   0.866764E-01   0.312479E+07   0.310988E+07  -0.992242E+01  -0.101188E+02   0.326744E+06   0.310984E+07   0.312244E+07   0.310984E+07  -0.742909E-01   0.164405E+07   0.164387E+07   0.676177E+00
   0.910103E-01   0.291704E+07   0.290109E+07  -0.840178E+01  -0.856805E+01   0.285996E+06   0.290268E+07   0.291453E+07   0.290268E+07  -0.693421E-01   0.153456E+07   0.153438E+07   0.668427E+00
   0.963987E-01   0.268737E+07   0.267075E+07  -0.689940E+01  -0.703591E+01   0.243946E+06   0.267376E+07   0.268476E+07   0.267376E+07  -0.638733E-01   0.141356E+07   0.141338E+07   0.637011E+00
   0.101787E+00   0.249521E+07   0.247888E+07  -0.574613E+01  -0.585981E+01   0.210373E+06   0.248236E+07   0.249264E+07   0.248236E+07  -0.593009E-01   0.131239E+07   0.131221E+07   0.579108E+00
   0.107176E+00   0.234201E+07   0.232693E+07  -0.486522E+01  -0.496145E+01   0.183933E+06   0.232993E+07   0.233964E+07   0.232993E+07  -0.556595E-01   0.123182E+07   0.123166E+07   0.501697E+00
   0.112564E+00   0.222244E+07   0.220927E+07  -0.418605E+01  -0.426884E+01   0.163026E+06   0.221110E+07   0.222037E+07   0.221110E+07  -0.528208E-01   0.116901E+07   0.116886E+07   0.416980E+00
   0.117953E+00   0.212578E+07   0.211476E+07  -0.364718E+01  -0.371931E+01   0.146008E+06   0.211514E+07   0.212405E+07   0.211514E+07  -0.505284E-01   0.111828E+07   0.111816E+07   0.337659E+00
   0.123341E+00   0.204022E+07   0.203113E+07  -0.320177E+01  -0.326509E+01   0.131506E+06   0.203019E+07   0.203879E+07   0.203019E+07  -0.484992E-01   0.107338E+07   0.107328E+07   0.273438E+00
   0.128729E+00   0.195631E+07   0.194863E+07  -0.281885E+01  -0.287460E+01   0.118582E+06   0.194683E+07   0.195511E+07   0.194683E+07  -0.465077E-01   0.102931E+07   0.102922E+07   0.229153E+00
   0.134118E+00   0.186868E+07   0.186171E+07  -0.248080E+01  -0.252986E+01   0.106723E+06   0.185965E+07   0.186759E+07   0.185965E+07  -0.444251E-01   0.983229E+06   0.983147E+06   0.204552E+00
   0.139506E+00   0.177615E+07   0.176927E+07  -0.217942E+01  -0.222251E+01   0.957458E+05   0.176750E+07   0.177507E+07   0.176750E+07  -0.422238E-01   0.934515E+06   0.934433E+06   0.195368E+00
   0.144895E+00   0.168074E+07   0.167350E+07  -0.191180E+01  -0.194960E+01   0.856617E+05   0.167242E+07   0.167960E+07   0.167242E+07  -0.399523E-01   0.884249E+06   0.884165E+06   0.195162E+00
   0.150283E+00   0.158625E+07   0.157848E+07  -0.167721E+01  -0.171037E+01   0.765588E+05   0.157823E+07   0.158503E+07   0.157823E+07  -0.377023E-01   0.834458E+06   0.834369E+06   0.197295E+00
   0.155672E+00   0.149734E+07   0.148913E+07  -0.147545E+01  -0.150462E+01   0.685399E+05   0.148961E+07   0.149605E+07   0.148961E+07  -0.355853E-01   0.787609E+06   0.787517E+06   0.196555E+00
   0.161060E+00   0.141845E+07   0.141009E+07  -0.130574E+01  -0.133155E+01   0.616698E+05   0.141103E+07   0.141714E+07   0.141103E+07  -0.337080E-01   0.746062E+06   0.745970E+06   0.190068E+00
   0.166449E+00   0.135216E+07   0.134399E+07  -0.116546E+01  -0.118849E+01   0.559149E+05   0.134504E+07   0.135088E+07   0.134504E+07  -0.321316E-01   0.711176E+06   0.711087E+06   0.177411E+00
   0.171837E+00   0.129803E+07   0.129039E+07  -0.104979E+01  -0.107054E+01   0.511216E+05   0.129121E+07   0.129683E+07   0.129121E+07  -0.308457E-01   0.682719E+06   0.682637E+06   0.160108E+00
   0.177226E+00   0.125331E+07   0.124641E+07  -0.953005E+00  -0.971840E+00   0.470697E+05   0.124679E+07   0.125223E+07   0.124679E+07  -0.297846E-01   0.659234E+06   0.659160E+06   0.140794E+00
   0.182614E+00   0.121455E+07   0.120845E+07  -0.869917E+00  -0.887110E+00   0.435483E+05   0.120832E+07   0.121359E+07   0.120832E+07  -0.288654E-01   0.638892E+06   0.638825E+06   0.122311E+00
   0.188003E+00   0.117843E+07   0.117304E+07  -0.796429E+00  -0.812169E+00   0.403838E+05   0.117246E+07   0.117758E+07   0.117246E+07  -0.280088E-01   0.619934E+06   0.619874E+06   0.106927E+00
   0.193391E+00   0.114205E+07   0.113717E+07  -0.729478E+00  -0.743895E+00   0.374436E+05   0.113631E+07   0.114128E+07   0.113631E+07  -0.271452E-01   0.600821E+06   0.600765E+06   0.958606E-01
   0.198780E+00   0.110350E+07   0.109889E+07  -0.667188E+00  -0.680373E+00   0.346477E+05   0.109797E+07   0.110278E+07   0.109797E+07  -0.262292E-01   0.580549E+06   0.580496E+06   0.891761E-01
   0.204168E+00   0.106252E+07   0.105796E+07  -0.608956E+00  -0.620990E+00   0.319775E+05   0.105717E+07   0.106181E+07   0.105717E+07  -0.252546E-01   0.558978E+06   0.558925E+06   0.860012E-01
   0.209556E+00   0.102027E+07   0.101561E+07  -0.555047E+00  -0.566015E+00   0.294584E+05   0.101507E+07   0.101954E+07   0.101507E+07  -0.242490E-01   0.536724E+06   0.536670E+06   0.849205E-01
   0.214945E+00   0.978513E+06   0.973700E+06  -0.505964E+00  -0.515962E+00   0.271282E+05   0.973472E+06   0.977757E+06   0.973472E+06  -0.232552E-01   0.514729E+06   0.514675E+06   0.844159E-01
   0.220333E+00   0.939012E+06   0.934081E+06  -0.462071E+00  -0.471201E+00   0.250177E+05   0.934121E+06   0.938237E+06   0.934121E+06  -0.223152E-01   0.493924E+06   0.493869E+06   0.832452E-01
   0.225722E+00   0.903161E+06   0.898210E+06  -0.423459E+00  -0.431826E+00   0.231428E+05   0.898420E+06   0.902383E+06   0.898420E+06  -0.214623E-01   0.475048E+06   0.474994E+06   0.806803E-01
   0.231110E+00   0.871710E+06   0.866866E+06  -0.389879E+00  -0.397583E+00   0.215000E+05   0.867121E+06   0.870949E+06   0.867121E+06  -0.207146E-01   0.458499E+06   0.458446E+06   0.765720E-01
   0.236499E+00   0.844584E+06   0.839961E+06  -0.360740E+00  -0.367867E+00   0.200656E+05   0.840144E+06   0.843858E+06   0.840144E+06  -0.200702E-01   0.444236E+06   0.444186E+06   0.712599E-01
   0.241887E+00   0.821013E+06   0.816688E+06  -0.335237E+00  -0.341861E+00   0.188026E+05   0.816721E+06   0.820333E+06   0.816721E+06  -0.195106E-01   0.431851E+06   0.431804E+06   0.653835E-01
   0.247276E+00   0.799835E+06   0.795831E+06  -0.312527E+00  -0.318702E+00   0.176695E+05   0.795684E+06   0.799206E+06   0.795684E+06  -0.190080E-01   0.420728E+06   0.420684E+06   0.596588E-01
   0.252664E+00   0.779763E+06   0.776050E+06  -0.291840E+00  -0.297607E+00   0.166273E+05   0.775743E+06   0.779180E+06   0.775743E+06  -0.185317E-01   0.410185E+06   0.410144E+06   0.546806E-01
   0.258053E+00   0.759667E+06   0.756177E+06  -0.272579E+00  -0.277965E+00   0.156454E+05   0.755768E+06   0.759119E+06   0.755768E+06  -0.180545E-01   0.399623E+06   0.399584E+06   0.507964E-01
