#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101758E+00   0.204251E+07   0.202625E+07   0.733685E+01   0.712172E+01   0.144193E+06   0.203141E+07   0.203996E+07   0.203141E+07  -0.669691E-01   0.146170E+07   0.146143E+07   0.791087E+00
   0.107146E+00   0.191699E+07   0.190197E+07   0.621025E+01   0.602814E+01   0.125652E+06   0.190656E+07   0.191463E+07   0.190656E+07  -0.628532E-01   0.137188E+07   0.137163E+07   0.685294E+00
   0.112535E+00   0.181899E+07   0.180587E+07   0.534203E+01   0.518537E+01   0.111020E+06   0.180924E+07   0.181692E+07   0.180924E+07  -0.596446E-01   0.130186E+07   0.130164E+07   0.569124E+00
   0.117924E+00   0.173977E+07   0.172879E+07   0.465347E+01   0.451699E+01   0.991359E+05   0.173066E+07   0.173805E+07   0.173066E+07  -0.570543E-01   0.124533E+07   0.124514E+07   0.460179E+00
   0.123313E+00   0.166969E+07   0.166063E+07   0.408455E+01   0.396475E+01   0.890403E+05   0.166115E+07   0.166827E+07   0.166115E+07  -0.547627E-01   0.119531E+07   0.119516E+07   0.371933E+00
   0.128701E+00   0.160101E+07   0.159336E+07   0.359560E+01   0.349013E+01   0.800779E+05   0.159296E+07   0.159981E+07   0.159296E+07  -0.525148E-01   0.114626E+07   0.114612E+07   0.311139E+00
   0.134090E+00   0.152933E+07   0.152239E+07   0.316403E+01   0.307121E+01   0.718897E+05   0.152167E+07   0.152824E+07   0.152167E+07  -0.501646E-01   0.109496E+07   0.109484E+07   0.277501E+00
   0.139479E+00   0.145365E+07   0.144679E+07   0.277930E+01   0.269777E+01   0.643411E+05   0.144631E+07   0.145257E+07   0.144631E+07  -0.476802E-01   0.104074E+07   0.104062E+07   0.265161E+00
   0.144868E+00   0.137560E+07   0.136840E+07   0.243770E+01   0.236619E+01   0.574326E+05   0.136853E+07   0.137447E+07   0.136853E+07  -0.451161E-01   0.984785E+06   0.984656E+06   0.265235E+00
   0.150256E+00   0.129830E+07   0.129057E+07   0.213826E+01   0.207553E+01   0.512159E+05   0.129147E+07   0.129708E+07   0.129147E+07  -0.425755E-01   0.929336E+06   0.929200E+06   0.268550E+00
