#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   121   0.338803E+04  -0.364441E+02   0.290548E-03  -0.364441E+02   0.103213E+01  -0.101492E-05   0.290548E-03  -0.101492E-05   0.888879E-07
   122   0.342240E+04  -0.370012E+02   0.287495E-03  -0.370012E+02   0.104079E+01  -0.103561E-05   0.287495E-03  -0.103561E-05   0.883383E-07
   123   0.345684E+04  -0.375472E+02   0.284490E-03  -0.375472E+02   0.104902E+01  -0.105674E-05   0.284490E-03  -0.105674E-05   0.877928E-07
   124   0.349134E+04  -0.380813E+02   0.281534E-03  -0.380813E+02   0.105683E+01  -0.107795E-05   0.281534E-03  -0.107795E-05   0.872514E-07
   125   0.352589E+04  -0.386032E+02   0.278626E-03  -0.386032E+02   0.106420E+01  -0.109890E-05   0.278626E-03  -0.109890E-05   0.867141E-07
   126   0.356049E+04  -0.391123E+02   0.275768E-03  -0.391123E+02   0.107113E+01  -0.111924E-05   0.275768E-03  -0.111924E-05   0.861809E-07
   127   0.359512E+04  -0.396081E+02   0.272959E-03  -0.396081E+02   0.107760E+01  -0.113863E-05   0.272959E-03  -0.113863E-05   0.856519E-07
   128   0.362977E+04  -0.400900E+02   0.270199E-03  -0.400900E+02   0.108362E+01  -0.115672E-05   0.270199E-03  -0.115672E-05   0.851269E-07
   129   0.366445E+04  -0.405575E+02   0.267489E-03  -0.405575E+02   0.108918E+01  -0.117315E-05   0.267489E-03  -0.117315E-05   0.846061E-07
   130   0.369913E+04  -0.410101E+02   0.264828E-03  -0.410101E+02   0.109425E+01  -0.118758E-05   0.264828E-03  -0.118758E-05   0.840894E-07
   131   0.373380E+04  -0.414473E+02   0.262218E-03  -0.414473E+02   0.109885E+01  -0.119975E-05   0.262218E-03  -0.119975E-05   0.835768E-07
   132   0.376848E+04  -0.418685E+02   0.259655E-03  -0.418685E+02   0.110298E+01  -0.120967E-05   0.259655E-03  -0.120967E-05   0.830682E-07
   133   0.380313E+04  -0.422733E+02   0.257140E-03  -0.422733E+02   0.110661E+01  -0.121744E-05   0.257140E-03  -0.121744E-05   0.825638E-07
   134   0.383776E+04  -0.426611E+02   0.254670E-03  -0.426611E+02   0.110976E+01  -0.122317E-05   0.254670E-03  -0.122317E-05   0.820633E-07
   135   0.387236E+04  -0.430318E+02   0.252245E-03  -0.430318E+02   0.111241E+01  -0.122696E-05   0.252245E-03  -0.122696E-05   0.815669E-07
   136   0.390693E+04  -0.433845E+02   0.249861E-03  -0.433845E+02   0.111458E+01  -0.122891E-05   0.249861E-03  -0.122891E-05   0.810744E-07
   137   0.394144E+04  -0.437189E+02   0.247519E-03  -0.437189E+02   0.111624E+01  -0.122911E-05   0.247519E-03  -0.122911E-05   0.805859E-07
   138   0.397590E+04  -0.440346E+02   0.245215E-03  -0.440346E+02   0.111741E+01  -0.122768E-05   0.245215E-03  -0.122768E-05   0.801013E-07
   139   0.401030E+04  -0.443311E+02   0.242950E-03  -0.443311E+02   0.111809E+01  -0.122470E-05   0.242950E-03  -0.122470E-05   0.796205E-07
   140   0.404463E+04  -0.446081E+02   0.240721E-03  -0.446081E+02   0.111827E+01  -0.122029E-05   0.240721E-03  -0.122029E-05   0.791437E-07
   141   0.407888E+04  -0.448652E+02   0.238527E-03  -0.448652E+02   0.111796E+01  -0.121454E-05   0.238527E-03  -0.121454E-05   0.786707E-07
   142   0.411303E+04  -0.451018E+02   0.236366E-03  -0.451018E+02   0.111715E+01  -0.120755E-05   0.236366E-03  -0.120755E-05   0.782015E-07
   143   0.414711E+04  -0.453177E+02   0.234237E-03  -0.453177E+02   0.111586E+01  -0.119943E-05   0.234237E-03  -0.119943E-05   0.777360E-07
   144   0.418107E+04  -0.455124E+02   0.232139E-03  -0.455124E+02   0.111408E+01  -0.119027E-05   0.232139E-03  -0.119027E-05   0.772743E-07
   145   0.421492E+04  -0.456855E+02   0.230069E-03  -0.456855E+02   0.111181E+01  -0.118018E-05   0.230069E-03  -0.118018E-05   0.768164E-07
   146   0.424863E+04  -0.458367E+02   0.228027E-03  -0.458367E+02   0.110907E+01  -0.116926E-05   0.228027E-03  -0.116926E-05   0.763621E-07
   147   0.428220E+04  -0.459655E+02   0.226010E-03  -0.459655E+02   0.110586E+01  -0.115760E-05   0.226010E-03  -0.115760E-05   0.759115E-07
   148   0.431561E+04  -0.460714E+02   0.224017E-03  -0.460714E+02   0.110218E+01  -0.114531E-05   0.224017E-03  -0.114531E-05   0.754646E-07
   149   0.434885E+04  -0.461543E+02   0.222047E-03  -0.461543E+02   0.109804E+01  -0.113249E-05   0.222047E-03  -0.113249E-05   0.750212E-07
   150   0.438190E+04  -0.462135E+02   0.220099E-03  -0.462135E+02   0.109345E+01  -0.111925E-05   0.220099E-03  -0.111925E-05   0.745815E-07
   151   0.441474E+04  -0.462487E+02   0.218170E-03  -0.462487E+02   0.108842E+01  -0.110566E-05   0.218170E-03  -0.110566E-05   0.741453E-07
   152   0.444738E+04  -0.462598E+02   0.216261E-03  -0.462598E+02   0.108294E+01  -0.109176E-05   0.216261E-03  -0.109176E-05   0.737127E-07
   153   0.447981E+04  -0.462464E+02   0.214372E-03  -0.462464E+02   0.107705E+01  -0.107758E-05   0.214372E-03  -0.107758E-05   0.732835E-07
   154   0.451201E+04  -0.462083E+02   0.212502E-03  -0.462083E+02   0.107075E+01  -0.106313E-05   0.212502E-03  -0.106313E-05   0.728579E-07
